ticker,ratio,volume_7d,volume_90d,volume_usd_7d,volume_usd_90d,price,price_90d_avg,change_7d,change_30d,score
VRNA,19.84258150124975,18368588.14285714,1348546.6666666667,1924508639.6440723,96988823.73358832,104.79000091552734,75.66388859219022,0.019093512553110658,24.77970555698439,19.846370147039554
TRI,3.8565861375207904,1934355.0,574415.5555555555,407919016.803687,105772048.71298896,209.72999572753903,186.61926489935982,4.8597577559409695,7.136290157698812,4.044006881453501
BPMC,3.360630819971189,7316027.142857143,2406463.3333333335,945703603.4173584,281406573.37227714,129.39999389648438,104.72894422743056,0.6612141770112075,1.0148225847220103,3.382851787389847
FBK,3.257977556826315,741836.7142857143,246068.88888888888,35481710.68698992,10890716.730889214,48.79499816894531,44.515352418687606,3.4669175717203125,13.76777538663723,3.3709289532266307
GMS,2.9284978162513173,1898815.0,784666.6666666666,208463418.96409717,71184420.15126546,110.0999984741211,80.89100028143989,0.5938798940179698,42.672024214751694,2.9458895759787893
INFA,2.132929245316506,7724107.142857143,4150372.222222222,188412507.44402748,88335094.9675168,24.55500030517578,20.690055561065673,0.8418887905318431,1.7612978002096107,2.150886137542801
VC,2.104812930331529,610712.7142857143,383027.77777777775,67420217.87856402,32031453.67790222,110.29499816894533,85.42016643948025,1.4393403510475795,33.254805656905475,2.1351083521518577
FULT,1.9859548964855127,2400113.8571428573,1359951.111111111,46076524.678407945,23201193.924367692,19.56999969482422,17.337231636047363,1.1369473334231643,15.597849495559366,2.008534157724091
GRID,1.9614128576564587,252560.7142857143,147178.88888888888,35266169.19288635,17979982.671788532,142.38499450683594,124.24778188069662,2.133986634084813,8.377980067128927,2.0032691458780687
WT,1.8988447040367336,2574993.8571428573,1791181.111111111,32616797.134495873,17177179.92690828,12.854999542236328,9.654519202974107,2.267301943765823,31.846149151141827,1.941897246920453
ARQQ,1.9043517226316822,977566.1428571428,779592.2222222222,38839820.05612727,20395297.567433253,41.30500030517578,22.685388882954914,1.4117377102918622,76.5170981988678,1.9312361740366664
BANF,1.8721346265646908,181126.7142857143,107317.77777777778,23438005.277688164,12519401.620542739,132.08999633789062,118.38438322279188,1.5686222516434145,8.777356908703245,1.901501346897706
WLFC,1.7887901570883076,170764.57142857142,90535.55555555556,23686665.54396275,13241723.994344076,138.03500366210938,146.48283250596788,1.6158770490238037,2.0289825650083206,1.8176948066918943
OLO,1.8131212009153583,3192355.285714286,2127593.3333333335,32337089.281567983,17835040.076329444,10.135000228881836,7.780277787314521,0.14822473806703218,14.132883989494546,1.815808695066253
SANM,1.7547491215481263,600623.2857142857,432781.1111111111,62594901.39742497,35671709.77820502,106.12000274658205,84.29188902113172,2.5710455109685038,20.632035096081644,1.7998645200664485
DK,1.7200750907701237,1891065.4285714286,1708288.888888889,49244607.55785588,28629335.90638055,25.290000915527344,17.53785252041287,3.9457500815111435,35.821695895092965,1.7879449550662387
QQQI,1.7000241922541999,1936025.142857143,1225050.0,101611155.37231445,59770417.2889328,52.875099182128906,48.30197622511122,0.8681820470821858,4.903174381171558,1.7147834970874047
STNG,1.6564203068716268,1491150.5714285714,1026711.1111111111,66579488.51924569,40194803.361829124,43.02999877929688,39.621111170450845,3.1399748807861596,7.146411710132798,1.708431488427637
MGNI,1.6322670416849532,2936107.1428571427,2779962.222222222,68851920.45729502,42181774.61098565,24.520000457763672,15.585666720072428,3.5035876107846273,47.00239813637862,1.689454947532348
AGIO,1.581724439759992,765857.8571428572,616445.5555555555,30136044.722093854,19052651.627907224,40.345001220703125,31.48672218322754,3.263377363291384,18.55716329102005,1.6333420770767673
GE,1.568199901470122,8412400.714285715,6482186.666666667,2187711570.3611536,1395046363.8661532,259.92498779296875,220.52267201741537,3.8329348826472773,3.75660506809238,1.6283079825232107
USM,1.6110096937807097,320169.85714285716,214176.66666666666,22120425.725310188,13730783.750529818,68.81999969482422,64.57355533175998,0.014535876450150479,12.249222236691788,1.6112438681593977
FINV,1.5669202176769117,1730098.4285714286,1283991.111111111,17885609.081996918,11414498.88783349,10.09000015258789,8.910000038146972,1.8163502315571316,16.78240453295513,1.5953809766790017
